Caso,Campo,Contenido Pre-llenado,Tus Notas,Check (☐)
A. BLOQUEO CREATIVO / INNOVACIÓN,y-CARMIS k,Capacidad de sostener ambigüedad creativa,,
A. BLOQUEO CREATIVO / INNOVACIÓN,Límites dominantes,"L6 (conceptos huecos), L2 (abrumador), L19 (falta red doble)",,
A. BLOQUEO CREATIVO / INNOVACIÓN,Transducción,"Problema creativo → € con al alta (muy estable) → Introducir A controlada",,
A. BLOQUEO CREATIVO / INNOVACIÓN,Ecrox clave,"C-M-Gen-F (memoria consciente general falaz = ""ya lo sé todo"")",,
A. BLOQUEO CREATIVO / INNOVACIÓN,Sesgo,FCP (evitar incertidumbre creativa),,
A. BLOQUEO CREATIVO / INNOVACIÓN,Choque,"PI + Anti-regla ""ningún concepto es sagrado"" + Acción no-racional (dibujo, movimiento, paseo)",,
A. BLOQUEO CREATIVO / INNOVACIÓN,Métrica éxito,"s (sincronía nuevas conexiones) > 0.6",,
B. DECISIÓN ESTRATÉGICA BAJO INCERTIDUMBRE,y-CARMIS k,Tolerancia a decisión irreversible parcial,,
B. DECISIÓN ESTRATÉGICA BAJO INCERTIDUMBRE,Límites dominantes,"L3 (problema aceite), L5 (PI estructural), L16 (delegación autoridad)",,
B. DECISIÓN ESTRATÉGICA BAJO INCERTIDUMBRE,Transducción,"Decisión estratégica → € con y baja → Aumentar ligadura con datos inherentes",,
B. DECISIÓN ESTRATÉGICA BAJO INCERTIDUMBRE,Verificación triaxial,"Mental (valores), Simulación (escenarios), Lab (datos mercado)",,
B. DECISIÓN ESTRATÉGICA BAJO INCERTIDUMBRE,Ecrox clave,"C-P-Gen-V/F mixto → Separar veraces de falaces",,
B. DECISIÓN ESTRATÉGICA BAJO INCERTIDUMBRE,Sesgo,TAD (explotar latencia decisión-consecuencia),,
B. DECISIÓN ESTRATÉGICA BAJO INCERTIDUMBRE,Choque,"Acelerar feedback → ""Pre-mortem"" + métricas leading indicators",,
B. DECISIÓN ESTRATÉGICA BAJO INCERTIDUMBRE,Métrica éxito,"y (ligadura con datos reales) > 0.7",,
C. CONFLICTO RELACIONAL / EQUIPO,y-CARMIS k,Capacidad de sostener tensión sin ruptura,,
C. CONFLICTO RELACIONAL / EQUIPO,Límites dominantes,"L14 (identidad sintomática), L13 (beneficio secundario), L20 (cinismo/lealtad)",,
C. CONFLICTO RELACIONAL / EQUIPO,Transducción,"Conflicto relacional → € con s baja entre componentes → Aumentar s o mejorar y",,
C. CONFLICTO RELACIONAL / EQUIPO,Ecrox clave,"C-M-Per-F (memoria personal falaz = ""él siempre..."") + I-P-Gen-F (proceso inconsciente)",,
C. CONFLICTO RELACIONAL / EQUIPO,Sesgo,"HD (patrones relación heredados) + FCP (evitar conversación difícil)",,
C. CONFLICTO RELACIONAL / EQUIPO,Choque,"Verificación triaxial del relato + Micro-acción: ""compartir impacto, no juicio""",,
C. CONFLICTO RELACIONAL / EQUIPO,Métrica éxito,"y (ligadura con necesidad real del otro) > 0.7",,
D. DEBUGGING / PROBLEMA TÉCNICO COMPLEJO,y-CARMIS k,Carga cognitiva debug (límite Miller 7±2),,
D. DEBUGGING / PROBLEMA TÉCNICO COMPLEJO,Límites dominantes,"L1 (fuera cobertura), L2 (abrumador), L6 (estibación hueca), L9 (sobrecarga)",,
D. DEBUGGING / PROBLEMA TÉCNICO COMPLEJO,Transducción,"Bug complejo → € con v alta (sobre-estibación) → y-CARMIS forzado (pausa/cambio contexto)",,
D. DEBUGGING / PROBLEMA TÉCNICO COMPLEJO,Ecrox clave,"C-P-Gen-F (proceso consciente falaz = ""debe ser X"") → I-P-Gen-V (intuición corporal)",,
D. DEBUGGING / PROBLEMA TÉCNICO COMPLEJO,Verificación,"Mental (hipótesis), Sim (reproducible), Lab (logs/métricas)",,
D. DEBUGGING / PROBLEMA TÉCNICO COMPLEJO,Sesgo,"FCP (asumir causa conocida) + HD (métodos debug heredados)",,
D. DEBUGGING / PROBLEMA TÉCNICO COMPLEJO,Choque,"Anti-regla ""ninguna hipótesis es sagrada"" + Acción no-racional (walk, sleep, rubber duck)",,
D. DEBUGGING / PROBLEMA TÉCNICO COMPLEJO,Métrica éxito,"v (estibación) bajando + s (sincronía hipótesis-evidencia) subiendo",,
E. DISEÑO DE SISTEMA / ARQUITECTURA,y-CARMIS k,Capacidad de sostener trade-offs sin decisión prematura,,
E. DISEÑO DE SISTEMA / ARQUITECTURA,Límites dominantes,"L19 (falta red doble), L8 (suposición patrones), L7 (HD arquitectura)",,
E. DISEÑO DE SISTEMA / ARQUITECTURA,Transducción,"Arquitectura → € con al objetivo → Mapear C (incapacidad densa = unknowns)",,
E. DISEÑO DE SISTEMA / ARQUITECTURA,Verificación triaxial,"Mental (coherencia), Sim (modelado carga/fallos), Lab (prototipo/POC)",,
E. DISEÑO DE SISTEMA / ARQUITECTURA,Ecrox clave,"C-P-Gen-V (diseño consciente) + I-M-Gen-V (patrones arquitectura internalizados)",,
E. DISEÑO DE SISTEMA / ARQUITECTURA,Sesgo,"HD (patrones heredados sin recontrastar) + TAD (deferir decisiones)",,
E. DISEÑO DE SISTEMA / ARQUITECTURA,Choque,"PI (autoreconocer unknowns) + Anti-reglas (SOLID, etc. como huecas) + Verif. triaxial cada decisión",,
E. DISEÑO DE SISTEMA / ARQUITECTURA,Métrica éxito,"al (armonía componentes) > k + y (ligadura con requerimientos reales) > 0.8",,